Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Silver Medal;2;08/08/2024;Neeraj CHOPRA;M;Athletics;ATH;Men's Javelin Throw;https://olympics.com/en/paris-2024/results/athletics/men-s-javelin-throw/fnl-000100--;IND;India
Bronze Medal;3;08/09/2024;Andy DIAZ HERNANDEZ;M;Athletics;ATH;Men's Triple Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--;ITA;Italy
Silver Medal;2;08/11/2024;Givi MATCHARASHVILI;M;Wrestling;WRE;Men's Freestyle 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--;GEO;Georgia
Bronze Medal;3;08/04/2024;Arlen LOPEZ CARDONA;M;Boxing;BOX;Men's 80kg;https://olympics.com/en/paris-2024/results/boxing/men-s-80kg/sfnl000200--;CUB;Cuba
Silver Medal;2;08/08/2024;Lauriane NOLOT;W;Sailing;SAL;Women's Kite;https://olympics.com/en/paris-2024/results/sailing/women-s-kite/fnl-000200--;FRA;France
Bronze Medal;3;08/10/2024;Jessica PILZ;W;Sport Climbing;CLB;Women's Boulder & Lead;https://olympics.com/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--;AUT;Austria
Bronze Medal;3;08/03/2024;Lorenzo MUSETTI;M;Tennis;TEN;Men's Singles;https://olympics.com/en/paris-2024/results/tennis/men-s-singles/fnl-000200--;ITA;Italy
Bronze Medal;3;08/10/2024;Mutaz Essa BARSHIM;M;Athletics;ATH;Men's High Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--;QAT;Qatar
Bronze Medal;3;08/02/2024;Temur RAKHIMOV;M;Judo;JUD;Men +100 kg;https://olympics.com/en/paris-2024/results/judo/men--plus-100-kg/repf000100--;TJK;Tajikistan
Bronze Medal;3;08/10/2024;Balint KOPASZ;M;Canoe Sprint;CSP;Men's Kayak Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------;HUN;Hungary
Silver Medal;2;08/10/2024;Adam VARGA;M;Canoe Sprint;CSP;Men's Kayak Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------;HUN;Hungary
Gold Medal;1;08/06/2024;Mijain LOPEZ NUNEZ;M;Wrestling;WRE;Men's Greco-Roman 130kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/fnl-000100--;CUB;Cuba
Bronze Medal;3;08/04/2024;Mykhaylo KOKHAN;M;Athletics;ATH;Men's Hammer Throw;https://olympics.com/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--;UKR;Ukraine
Silver Medal;2;08/09/2024;Anastasia NICHITA;W;Wrestling;WRE;Women's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--;MDA;Republic of Moldova
Gold Medal;1;31/07/2024;Sarah SJOESTROEM;W;Swimming;SWM;Women's 100m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--;SWE;Sweden
Silver Medal;2;08/11/2024;Daria PIKULIK;W;Cycling Track;CTR;Women's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--;POL;Poland
Silver Medal;2;08/07/2024;Sofiane OUMIHA;M;Boxing;BOX;Men's 63.5kg;https://olympics.com/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--;FRA;France
Silver Medal;2;08/05/2024;Angele HUG;W;Canoe Slalom;CSL;Women's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------;FRA;France
Gold Medal;1;08/10/2024;LIN Yu Ting;W;Boxing;BOX;Women's 57kg;https://olympics.com/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--;TPE;Chinese Taipei
Bronze Medal;3;08/06/2024;CHEN Nien Chin;W;Boxing;BOX;Women's 66kg;https://olympics.com/en/paris-2024/results/boxing/women-s-66kg/sfnl000200--;TPE;Chinese Taipei
Bronze Medal;3;27/07/2024;Shirine BOUKLI;W;Judo;JUD;Women -48 kg;https://olympics.com/en/paris-2024/results/judo/women--48-kg/repf000100--;FRA;France
Bronze Medal;3;31/07/2024;Maxime-Gael NGAYAP HAMBOU;M;Judo;JUD;Men -90 kg;https://olympics.com/en/paris-2024/results/judo/men--90-kg/repf000100--;FRA;France
Gold Medal;1;08/02/2024;Teddy RINER;M;Judo;JUD;Men +100 kg;https://olympics.com/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--;FRA;France
Bronze Medal;3;08/04/2024;IM Aeji;W;Boxing;BOX;Women's 54kg;https://olympics.com/en/paris-2024/results/boxing/women-s-54kg/sfnl000200--;KOR;Korea
Bronze Medal;3;08/10/2024;Emma Aastrand JORGENSEN;W;Canoe Sprint;CSP;Women's Kayak Single 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------;DEN;Denmark
Silver Medal;2;08/01/2024;Inbar LANIR;W;Judo;JUD;Women -78 kg;https://olympics.com/en/paris-2024/results/judo/women--78-kg/fnl-000100--;ISR;Israel
Silver Medal;2;08/05/2024;CHO Yeongjae;M;Shooting;SHO;25m Rapid Fire Pistol Men;https://olympics.com/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--;KOR;Korea
Silver Medal;2;28/07/2024;KIM Yeji;W;Shooting;SHO;10m Air Pistol Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--;KOR;Korea
Bronze Medal;3;08/08/2024;Cindy Winner DJANKEU NGAMBA;W;Boxing;BOX;Women's 75kg;https://olympics.com/en/paris-2024/results/boxing/women-s-75kg/sfnl000200--;EOR;EOR
Silver Medal;2;08/02/2024;Sylvain ANDRE;M;Cycling BMX Racing;BMX;Men;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;FRA;France
Silver Medal;2;29/07/2024;Victor KORETZKY;M;Cycling Mountain Bike;MTB;Men's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--;FRA;France
Bronze Medal;3;08/02/2024;Romain MAHIEU;M;Cycling BMX Racing;BMX;Men;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;FRA;France
Silver Medal;2;08/05/2024;Joseph CLARKE;M;Canoe Slalom;CSL;Men's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------;GBR;Great Britain
Bronze Medal;3;29/07/2024;FUNAKUBO Haruka;W;Judo;JUD;Women -57 kg;https://olympics.com/en/paris-2024/results/judo/women--57-kg/repf000100--;JPN;Japan
Gold Medal;1;30/07/2024;NAGASE Takanori;M;Judo;JUD;Men -81 kg;https://olympics.com/en/paris-2024/results/judo/men--81-kg/fnl-000100--;JPN;Japan
Bronze Medal;3;08/10/2024;Rafael ALBA;M;Taekwondo;TKW;Men +80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--plus-80kg/repf000100--;CUB;Cuba
Gold Medal;1;08/03/2024;Marta MAGGETTI;W;Sailing;SAL;Women's Windsurfing;https://olympics.com/en/paris-2024/results/sailing/women-s-windsurfing/fnl-000100--;ITA;Italy
Silver Medal;2;08/11/2024;Tigst ASSEFA;W;Athletics;ATH;Women's Marathon;https://olympics.com/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--;ETH;Ethiopia
Gold Medal;1;08/06/2024;QUAN Hongchan;W;Diving;DIV;Women's 10m Platform;https://olympics.com/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--;CHN;China
Silver Medal;2;28/07/2024;AKAMA Liz;W;Skateboarding;SKB;Women's Street;https://olympics.com/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--;JPN;Japan
