Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Gold Medal;1;08/01/2024;Netherlands;W;Rowing;ROW;Women's Four;https://olympics.com/en/paris-2024/results/rowing/women-s-four/fnl---------;NED;Netherlands
Bronze Medal;3;08/01/2024;Great Britain;W;Rowing;ROW;Women's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------;GBR;Great Britain
Gold Medal;1;08/02/2024;Great Britain;W;Rowing;ROW;Lightweight Women's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------;GBR;Great Britain
Bronze Medal;3;08/02/2024;Greece;W;Rowing;ROW;Lightweight Women's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------;GRE;Greece
Bronze Medal;3;31/07/2024;Germany;W;Rowing;ROW;Women's Quadruple Sculls;https://olympics.com/en/paris-2024/results/rowing/women-s-quadruple-sculls/fnl---------;GER;Germany
Silver Medal;2;08/02/2024;McHARDIE/McKENZIE;M;Sailing;SAL;Men's Skiff;https://olympics.com/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--;NZL;New Zealand
Bronze Medal;3;08/02/2024;BARROWS/HENKEN;M;Sailing;SAL;Men's Skiff;https://olympics.com/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--;USA;United States
Gold Medal;1;08/02/2024;AANHOLT/DUETZ;W;Sailing;SAL;Women's Skiff;https://olympics.com/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--;NED;Netherlands
Bronze Medal;3;27/07/2024;Kazakhstan 1;X;Shooting;SHO;10m Air Rifle Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000200--;KAZ;Kazakhstan
Silver Medal;2;08/10/2024;Great Britain;W;Artistic Swimming;SWA;Duet;https://olympics.com/en/paris-2024/results/artistic-swimming/duet/fnl-000100--;GBR;Great Britain
Bronze Medal;3;08/04/2024;France;M;Swimming;SWM;Men's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--;FRA;France
Bronze Medal;3;08/04/2024;China;W;Swimming;SWM;Women's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--;CHN;China
Gold Medal;1;08/01/2024;Australia;W;Swimming;SWM;Women's 4 x 200m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--;AUS;Australia
Bronze Medal;3;08/03/2024;Australia;X;Swimming;SWM;Mixed 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--;AUS;Australia
Gold Medal;1;08/09/2024;China;M;Table Tennis;TTE;Men's Team;https://olympics.com/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000;CHN;China
Silver Medal;2;08/10/2024;EHLERS/WICKLER;M;Beach Volleyball;VBV;Men;https://olympics.com/en/paris-2024/results/beach-volleyball/men/fnl-000100--;GER;Germany
Bronze Medal;3;08/10/2024;MOL/SORUM;M;Beach Volleyball;VBV;Men;https://olympics.com/en/paris-2024/results/beach-volleyball/men/fnl-000200--;NOR;Norway
Gold Medal;1;08/10/2024;France;M;Volleyball;VVO;Men;https://olympics.com/en/paris-2024/results/volleyball/men/fnl-000100--;FRA;France
